name,checked_synonym,accepted_name,author
Alyssum fulvescens Sibth. et Sm. var. fulvescens,Alyssum fulvescens var. fulvescens,Alyssum fulvescens var. fulvescens,
Alyssum serpyllifolium Desf.,Alyssum serpyllifolium,Odontarrhena serpyllifolia,(Desf.) Jord. & Fourr.
Alyssum stenostachyum Botsch. et Vved.,Alyssum stenostachyum,Alyssum szovitsianum,Fisch. & C.A.Mey.
Alyxia Olivaeformis,Alyxia oliviformis,Alyxia stellata,(J.R.Forst. & G.Forst.) Roem. & Schult.
Amana (Tulipa) graminifolia,Amana,Amana,Honda
Amaracus Dictamnus (L. )Benth.,Amaracus,Origanum,L.
Amaranthus spinosus L.,Amaranthus spinosus,Amaranthus spinosus,L.
Amaryllis forgettii (Worsley),Amaryllis forgetii,Hippeastrum forgetii,Worsley
Amaryllis mollevildquensis X A. marginata,Amaryllis mollevillquensis,Hippeastrum mollevillquense,(Cárdenas) Van Scheepen
Amaryllis calyptrata Ker-Gawl.,Amaryllis calyptrata,Hippeastrum calyptratum,(Ker Gawl.) Herb.
Amaryllis ferreyrae Traub.,Amaryllis ferreyrae,Hippeastrum ferreyrae,(Traub) Gereau & Brako
Amaryllis incachacana Cardenas,Amaryllis incachacana,Hippeastrum incachacanum,(Cárdenas) Van Scheepen
Amaryllis mollevillquensis,Amaryllis mollevillquensis,Hippeastrum mollevillquense,(Cárdenas) Van Scheepen
Amaryllis reginae    X A.,Amaryllis reginae,Hippeastrum reginae,(L.) Herb.
Amaryllis vittata    X A. chionedyantha,Amaryllis vittata,Hippeastrum vittatum,(L'Hér.) Herb.
Amaryllis vittata var. tweediana    X Amaryllis pseudopardina,Amaryllis vittata var. tweedieana,Hippeastrum vittatum,(L'Hér.) Herb.
Amblostoma densum Reichb. f.,Amblostoma densum,Epidendrum tridactylum,Lindl.
Amblostoma gracile Garay var. robustum C. Schweinf.,Amblostoma gracile var. robustum,Epidendrum macrum,Dressler
Ambrosia artemisiaefolia Linn. var.  elatior Descourtils,Ambrosia artemisiifolia var. elatior,Ambrosia artemisiifolia,L.
Amelanchier canadensis (L.)Med.,Amelanchier canadensis,Amelanchier canadensis,(L.) Medik.
Amellus lychnitis L.,Amellus lychnitis,Amellus tenuifolius,Burm.f.
Ampnipterygium adstringens (Schlecht.) Scheide,Amphipterygium adstringens,Amphipterygium adstringens,(Schltdl.) Schiede ex Standl.
Amsinckia spectabilis Fisch. & Mey.,Amsinckia spectabilis,Amsinckia spectabilis,Fisch. & C.A.Mey.
Amsinckia tesselata Gray,Amsinckia tessellata,Amsinckia tessellata,A.Gray
Alinsoa dead,Alonsoa,Alonsoa,Ruiz & Pav.
OL Alyxia divaeformis,Alyxia,Alyxia,R.Br.
Andropogon hallii Hack.,Andropogon hallii,Andropogon hallii,Hack.
Androsace carnea L.,Androsace carnea,Androsace laggeri,A.Huet
Androsace helvetica (L.)A11.,Androsace helvetica,Androsace helvetica,(L.) All.
Androsace septentroinalis L. ssp. umbellata (A. Nels.) Robbins,Androsace,Androsace,L.
Anemone parviflora Michx.,Anemone parviflora,Anemone parviflora,Michx.
Angelica- montana Ckn.,Angelica,Angelica,L.
Angophora melanoxylon R.T. Bak.,Angophora melanoxylon,Angophora melanoxylon,R.T.Baker
Angraecum birriminense,Angraecum birrimense,Angraecum birrimense,Rolfe
Angraecum cucullatum Thouars.,Angraecum cucullatum,Angraecum cucullatum,Thouars
Angraecum multinominatum,Angraecum multinominatum,Angraecum multinominatum,Rendle
Anguillaria dioica,Anguillaria dioica,Wurmbea dioica,(R.Br.) F.Muell.
Anigozanthos humilis Lindl.,Anigozanthos humilis,Anigozanthos humilis,Lindl.
Anigozanthos manglesii Don,Anigozanthos manglesii,Anigozanthos flavidus,Redouté
Anigosanthos manglesii D.Don,Anigozanthos manglesii,Anigozanthos flavidus,Redouté
Anigosanthos pulcherrima Hook.,Anigozanthos pulcherrimus,Anigozanthos pulcherrimus,Hook.
Z Anigosanthos rufa Labill.,Anigozanthos rufus,Anigozanthos rufus,Labill.
Annona mivucata,Annona muricata,Annona muricata,L.
Anoectochilus formosanus Hayata,Anoectochilus formosanus,Anoectochilus formosanus,Hayata
Anogeissus pendula,Anogeissus pendula,Terminalia pendula,(Edgew.) Gere & Boatwr.
Anthemis nobilis L.,Anthemis nobilis,Chamaemelum nobile,(L.) All.
Anthemis nobilis Metzger var. flore-pleno,Anthemis,Anthemis,L.
Antholyza spp.,Antholyza,Gladiolus,Tourn. ex L.
Anthobolus foveolatus F. Muell.,Anthobolus foveolatus,Anthobolus foveolatus,F.Muell.
Anthocercis,Anthocercis,Anthocercis,Labill.
Anticharis linearis Hoehst.,Anticharis linearis,Anticharis senegalensis,(Walp.) Bhandari
Antidesma bunius Spreng.,Antidesma bunius,Antidesma bunius,(L.) Spreng.
Antidesma pulvinatum Hillebr.,Antidesma pulvinatum,Antidesma pulvinatum,Hillebr.
