name,checked_synonym,accepted_name,author
Pithecellobium dulce Benth.,Pithecellobium dulce,Pithecellobium dulce,(Roxb.) Benth.
Pittosporum glabratum Lindl.,Pittosporum glabratum,Pittosporum glabratum,Lindl.
Pittosporum heterophyllum Franch.,Pittosporum heterophyllum,Pittosporum heterophyllum,Franch.
Pittosporum phyllyraeoides DC.,Pittosporum phillyreoides,Pittosporum phillyreoides,DC.
Pittosporum phillyraecoides DC.,Pittosporum phillyreoides,Pittosporum phillyreoides,DC.
Pittosporum phillyreoides DC.,Pittosporum phillyreoides,Pittosporum phillyreoides,DC.
Pittosporum rhombifolium A. Cunn.,Pittosporum rhombifolium,Auranticarpa rhombifolia,"(A.Cunn. ex Hook.) L.W.Cayzer, Crisp & I.Telford"
Pittosporum senacia,Pittosporum senacia,Pittosporum senacia,Putt.
Pittosporum undulatum Vent.,Pittosporum undulatum,Pittosporum taitense,Putt.
Pityrodia axillaris  Druce,Pityrodia axillaris,Dasymalla axillaris,Endl.
Plagianthus betulinus A. Cunn.,Plagianthus betulinus,Plagianthus regius subsp. regius,
Plagiobothrys mollis (Gray) Jtn.,Plagiobothrys mollis,Plagiobothrys mollis,(A.Gray) I.M.Johnst.
Plagiobothrys nothofulvus (Gray) Gray,Plagiobothrys nothofulvus,Plagiobothrys nothofulvus,(A.Gray) A.Gray
Plagiobothrys undulatus (Piper) Jtn.,Plagiobothrys undulatus,Plagiobothrys undulatus,(Piper) I.M.Johnst.
Plagiogyria euphlebia Mett.,Plagiogyria euphlebia,Plagiogyria euphlebia,(Kunze) Mett.
Plagiogyria semicordata (Pr.) Christ,Plagiogyria semicordata,Plagiogyria pectinata,(Liebm.) Lellinger
Plantago hookeriana F. & M. var. californica (Greene) Poe,Plantago hookeriana var. californica,Plantago elongata,Pursh
Plantago lanceolata L.,Plantago lanceolata,Plantago lanceolata,L.
Plantago limensis Per.,Plantago limensis,Plantago limensis,Pers.
Platycerium wilhelmina-reginae,,,
Platylepis polyadenia Rchb. f.,Platylepis polyadenia,Platylepis occulta,(Thouars) Rchb.f.
Platystele compacta Ames,Platystele compacta,Platystele compacta,(Ames) Ames
Platystemon californicus Benth. var. nutans    Yellow,Platystemon californicus var. nutans,Platystemon californicus,Benth.
Platytheca verticillata Baill.,Platytheca verticillata,Platytheca galioides,Steetz
Plectranthus stenophyllus Bak.,Plectranthus stenophyllus,Equilabium stenophyllum,(Baker) Mwany. & A.J.Paton
Plectrelminthus Plectrelininthus caudatus Rafin,Plectrelminthus caudatus,Plectrelminthus caudatus,(Lindl.) Summerh.
Pleione hookeriana Lindl.,Pleione hookeriana,Pleione hookeriana,(Lindl.) Rollisson
Pleione humilis Lindl.,Pleione humilis,Pleione humilis,(Sm.) D.Don
Pleione maculata Lindl.,Pleione maculata,Pleione maculata,(Lindl.) Lindl. & Paxton
Pleiospilos brevisepalus L. Bol.,Pleiospilos brevisepalus,Pleiospilos compactus subsp. canus,(Haw.) H.E.K.Hartmann & Liede
Pleiospilos Hilmari L. Bol. Aizoaceae,Pleiospilos,Pleiospilos,N.E.Br.
Pleiospilos peersii L. Bol.,Pleiospilos peersii,Pleiospilos compactus subsp. canus,(Haw.) H.E.K.Hartmann & Liede
Pleisopilos prismatious (Marl) Schw.,Pleiospilos prismaticus,Tanquana prismatica,(Schwantes) H.E.K.Hartmann & Liede
Pleurothallis amparoana Schltr.,Pleurothallis amparoana,Stelis pilosa,Pridgeon & M.W.Chase
Pleurothallis barauca,Pleurothallis barbata,Lankesteriana barbulata,(Lindl.) Karremans
Pleurothallis carioi Schltr.,Pleurothallis carioi,Acianthera angustifolia,(Lindl.) Luer
Pleurothallis chrysantha,Pleurothallis chrysantha,Acianthera chrysantha,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis circumplex Lindl.,Pleurothallis circumplexa,Acianthera circumplexa,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis cubensis Lindl.,Pleurothallis cubensis,Acianthera rubroviridis,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis decurrens Poepp. & Endl.,Pleurothallis decurrens,Acianthera decurrens,(Poepp. & Endl.) Pridgeon & M.W.Chase
Pleurothallis flexuosa (P. & E.) Lindley,Pleurothallis flexuosa,Stelis kefersteiniana,(Rchb.f.) Pridgeon & M.W.Chase
Pleurothallis lateritia Rchb. f.,Pleurothallis lateritia,Specklinia lanceola,(Sw.) Lindl.
Pleurothallis linguifera Lindl.,Pleurothallis linguifera,Pleurothallis linguifera,Lindl.
Pleurothallus macracarpa,Pleurothallis macrocardia,Pleurothallis macrocardia,Rchb.f.
Pleurothallis mantiguyrana Rodrig.,Pleurothallis mantiquyrana,Acianthera mantiquyrana,(Barb.Rodr.) V.T.Rodrigues & F.Barros
Pleurothallis pedunculata (K1.) Rchb. f.,Pleurothallis pedunculata,Pleurothallis pedunculata,(Klotzsch) Rchb.f.
Pleurothallis phalangifera (Presl)) Rchb. f. det. C. Schweinfurth 1965,Pleurothallis phalangifera,Pleurothallis phalangifera,(C.Presl) Rchb.f.
Pleurothallus saurocephala Lodd.,Pleurothallis saurocephala,Acianthera saurocephala,(G.Lodd.) Pridgeon & M.W.Chase
"Pleurothallis scabrata Lindl.  det. C. Schweinfurth, 1966",Pleurothallis scabrata,Stelis scabrata,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis scheidei Reichb.,Pleurothallis schiedei,Stelis villosa,(Knowles & Westc.) Pridgeon & M.W.Chase
"Pleurothallis serripetala Kr""anzl.",Pleurothallis serripetala,Myoxanthus serripetalus,(Kraenzl.) Luer
Pleurothallis truxillensis Reichb.,Pleurothallis truxillensis,Acianthera pubescens,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis vittata. Lindl,Pleurothallis vittata,Acianthera pubescens,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis wilsoniana,Pleurothallis wilsonii,Acianthera wilsonii,(Lindl.) Pridgeon & M.W.Chase
Pleurothallis xanthophthalma (Rchb. f.) L.O.Wms.,Pleurothallis xanthophthalma,Restrepia muscifera,(Lindl.) Rchb.f. ex Lindl.
"Pleurothallis xanthochlora Reichb. f.  det. C. Schweinfurth, 1966",Pleurothallis xanthochlora,Pleurothallis xanthochlora,Rchb.f.
Poa alpina L.,Poa alpina,Poa bulbosa,L.
Podolepis hieracioides F. Muell.,Podolepis hieracioides,Podolepis hieracioides,F.Muell.
Podolepis jaceoides (Sims) Voss,Podolepis jaceoides,Podolepis jaceoides,(Sims) Voss
Podolepis robusta (Maiden & Betche) J.H.Willis,Podolepis robusta,Podolepis robusta,(Maiden & Betche) J.H.Willis
Podotheca angustifolia Less.,Podotheca angustifolia,Podotheca angustifolia,(Labill.) Less.
Poecilochroma,Poecilochroma,Saracha,Ruiz & Pav.
Poecilochrona punctata (R.&P.) Miers.,Poecilochroma punctata,Saracha punctata,Ruiz & Pav.
Polemonium-like,,,
Polemonium occidentale Greene,Polemonium occidentale,Polemonium occidentale,Greene
Polemonium PARMifolium,Polemonium parvifolium,Polemonium pulcherrimum subsp. pulcherrimum,
Pollichia campestris Ait.,Pollichia campestris,Pollichia campestris,Aiton
Polycycnis barbata (Indl. ) Reichb. f.,Polycycnis barbata,Polycycnis muscifera,(Lindl. & Paxton) Rchb.f.
Polygala nyikensis,Polygala nyikensis,Polygala nyikensis,Exell
Polygala producta,Polygala producta,Polygala producta,N.E.Br.
Polygonatum (streptopus?),Polygonatum,Polygonatum,Mill.
Polygonatum hookeri Baker,Polygonatum hookeri,Polygonatum hookeri,Baker
Polygonatum officinale All.,Polygonatum officinale,Polygonatum odoratum var. odoratum,
Polyscias fruticosa Harms.,Polyscias fruticosa,Polyscias fruticosa,(L.) Harms
Polystachya adansoniae Rchb. f.,Polystachya adansoniae,Polystachya adansoniae,Rchb.f.
Polystachya campyloglossa vel aff.,Polystachya campyloglossa,Polystachya campyloglossa,Rolfe
Polystachya holstii Krzl.,Polystachya holstii,Polystachya holstii,Kraenzl.
Polystachya masayensis,Polystachya masayensis,Polystachya masayensis,Rchb.f.
Polystachya mauritiana Spreng.,Polystachya mauritiana,Polystachya concreta,(Jacq.) Garay & H.R.Sweet
Polytrichum juniperinum Hedw.,Polystichum,Polystichum,Roth
Pomaderris ferruginea Sieber ex Fenzl.,Pomaderris ferruginea,Pomaderris wendlandiana,(Schult.) G.Don
Ponera juncifolia Lindley,Ponera juncifolia,Ponera juncifolia,Lindl.
Popowia obovata,Popowia obovata,Monanthotaxis obovata,(Benth.) P.H.Hoekstra
Populus brandegeei Schn. var. glabra Wiggins,Populus brandegeei var. glabra,Populus brandegeei,C.K.Schneid.
Populus grandidentata Mixhx.,Populus grandidentata,Populus grandidentata,Michx.
Populus macdougallii,Populus macdougallii,Populus fremontii subsp. fremontii,
Portulaca gilliesii Hook.,Portulaca gilliesii,Portulaca gilliesii,Hook.
Portulaca howellii,Portulaca howellii,Portulaca howellii,(D.Legrand) Eliasson
Portulaca aff. P.mexicana Wilson,Portulaca afra,Talinum afrum,(Thunb.) Eckl. & Zeyh.
Potamogeton lucens L,Potamogeton lucens,Potamogeton lucens,L.
Potamogeton pectinatus,Potamogeton pectinatus,Stuckenia pectinata,(L.) Börner
"Potentilla (?) (palmately divided, deeply toothed)",Potentilla,Potentilla,L.
Potentilla anserina var. grandis Torr. & Gray,Potentilla anserina var. grandis,Argentina pacifica,(Howell) Rydb.
Potentilla egedei Wormsk. var. grandis (Rydb.),Potentilla egedii var. grandis,Argentina pacifica,(Howell) Rydb.
Potentilla edegei Wormsk. var. grandis (Rydb.)J.T.Howell,Potentilla egedii var. grandis,Argentina pacifica,(Howell) Rydb.
Potentilla fruticosa L. 'Longacre',Potentilla,Potentilla,L.
Potentilla gordoni Baill.,Potentilla gordonii,Potentilla gordonii,(Hook.) Greene
Potentilla gracilis Dougl. var. pulcherrima,Potentilla gracilis var. pulcherrima,Potentilla pulcherrima,Lehm.
Prenia relaxata N.E.Br.,Prenia relaxata,Mesembryanthemum pallens subsp. pallens,
Priestleya hirsuta DC.,Priestleya hirsuta,Liparia hirsuta,Thunb.
Primula alpicola Stapf.,Primula alpicola,Primula alpicola,(W.W.Sm.) Stapf
Primula alpicola Stapf var. luna,Primula alpicola var. alba,Primula alpicola,(W.W.Sm.) Stapf
Primula anisodora Balf. f.& Forrest,Primula anisodora,Primula anisodora,Balf.f. & Forrest
Primula aurantica Smith & Forest,Primula aurantiaca,Primula aurantiaca,W.W.Sm. & Forrest
Primula aurantiaca Smith & Forrest,Primula aurantiaca,Primula aurantiaca,W.W.Sm. & Forrest
Primula burmanica Balf. f.+ Ward,Primula burmanica,Primula bulleyana subsp. beesiana,(Forrest) A.J.Richards
Primula capitata Hook. ssp. mooreana W.W. Smith + Forrest,Primula capitata subsp. mooreana,Primula capitata subsp. mooreana,(Balf.f. & W.W.Sm.) W.W.Sm. & Forrest
Primula chungensis E.B.Balf.+ F. K. Ward,Primula chungensis,Primula chungensis,Balf.f. & Kingdon-Ward
Primula cortusoides L.,Primula cortusoides,Primula cortusoides,L.
Primula cawdoriana Ward,Primula cawdoriana,Primula cawdoriana,Kingdon-Ward
"Primula florindae F.K. Ward, 'Highdown Orange'",Primula,Primula,L.
Primula frondosa Janka,Primula frondosa,Primula frondosa,Janka
Primula hopeana Balf. f. & Cooper,Primula hopeana,Primula sikkimensis var. hopeana,(Balf.f. & R.E.Cooper) W.W.Sm. & H.R.Fletcher
Primula ioessa W. W. Smith,Primula ioessa,Primula ioessa,W.W.Sm.
Primula komarovii Losinskaja,Primula komarovii,Primula vulgaris subsp. rubra,(Sm.) Arcang.
Primula longiflora All.,Primula longiflora,Primula halleri,J.F.Gmel.
Primula luteola Rupr.,Primula luteola,Primula luteola,Rupr.
Primula melanops,Primula melanops,Primula chionantha subsp. melanops,(W.W.Sm. & Kingdon-Ward) A.J.Richards
Primula officinalis (L.) Hill.,Primula officinalis,Primula veris subsp. veris,
Primula pallasii Lehm.,Primula pallasii,Primula elatior subsp. pallasii,(Lehm.) W.W.Sm. & Forrest
PrimulaX polyantha Hert. Mill.,Primula,Primula,L.
Primula pulverulenta Duthie,Primula pulverulenta,Primula pulverulenta,Duthie
Primula pulverulenta 'BARTLEY STRAIN',Primula,Primula,L.
Primula reidii Duthie var. williamsii Ludlow,Primula reidii var. williamsii,Primula reidii var. williamsii,Ludlow
Primula rosea var. grandiflora,Primula,Primula,L.
Primula saxatilis Komarov.,Primula saxatilis,Primula saxatilis,Kom.
Primula sibthorpii Hoffmagg.,Primula sibthorpii,Primula vulgaris subsp. rubra,(Sm.) Arcang.
Primula veitchii Duthie,Primula veitchii,Primula polyneura,Franch.
Primula yargongensis Petitmengin,Primula yargongensis,Primula munroi subsp. yargongensis,(Petitm.) D.G.Long
Prionium serratum,Prionium serratum,Prionium serratum,(L.f.) Drège
Pritchardia hildebrendtii hillebrandi,Pritchardia hillebrandii,Pritchardia hillebrandii,Becc.
Pritchardia thurstoni F. Nuell.- + Drude,Pritchardia thurstonii,Pritchardia thurstonii,F.Muell. & Drude
Prostanthera caerulea R.Br.,Prostanthera caerulea,Prostanthera caerulea,R.Br.
Prostanthera magnifica Gardn.,Prostanthera magnifica,Prostanthera magnifica,C.A.Gardner
Prostanthera ovalifolia R. Br.,Prostanthera ovalifolia,Prostanthera ovalifolia,R.Br.
Prostanthera phylicifolia F.Muell.,Prostanthera phylicifolia,Prostanthera phylicifolia,F.Muell.
Protea barbigera Meissn.,Protea barbigera,Protea magnifica,Andrews
Protea cedromontana Schlecht.,Protea cedromontana,Protea acuminata,Sims
Protea decurrens Phillips,Protea decurrens,Protea decurrens,E.Phillips
Protea grandiceps Trott.,Protea grandiceps,Protea grandiceps,Tratt.
Protea incompta R. Br.,Protea incompta,Protea coronata,Lam.
Protea lacticolor,Protea lacticolor,Protea lacticolor,Salisb.
Protea laurifolia Buek ex Meissn.,Protea laurifolia,Protea laurifolia,Thunb.
Protea lepidocarpodendron L.,Protea lepidocarpodendron,Protea lepidocarpodendron,(L.) L.
Protea longifolia Andr.,Protea longifolia,Protea laevis,R.Br.
Protea longiflora,Protea longiflora,Protea aurea subsp. aurea,
Protea minor,Protea minor,Protea longifolia,Andrews
Protea obtusifolia Buek ex Meissn.,Protea obtusifolia,Protea obtusifolia,H.Buek ex Meisn.
Protea oleracea,Protea oleracea,Protea caespitosa,Andrews
Protea pendula,Protea pendula,Protea pendula,R.Br.
Protea pulchra,Protea pulchra,Protea burchellii,Stapf
Protea restionifolia (Salisb. ex Knight) Rycroft,Protea restionifolia,Protea restionifolia,(Salisb. ex Knight) Rycroft
Protea rosacea L.,Protea rosacea,Protea nana,(P.J.Bergius) Thunb.
Protea rupellii R.E. Fries,Protea roupelliae,Protea roupelliae,Meisn.
Protea compacta R. Br.,Protea compacta,Protea compacta,R.Br.
Prunella asiatica Nakai,Prunella asiatica,Prunella vulgaris subsp. asiatica,(Nakai) H.Hara
Prunella villosus L.,Prunella,Prunella,L.
Prunus (deciduous),Prunus,Prunus,L.
Prunus armeniaca L. 'WAI-TSEI',Prunus,Prunus,L.
Prunus avium L. 'BLACK TARTARIAN',Prunus,Prunus,L.
Prunus bucharica (Korsh.) Kitamura,Prunus bucharica,Prunus bucharica,(Korsh.) Hand.-Mazz.
Prunus cerasifera Ehrh. var. nigra,Prunus cerasifera f. nigra,Prunus cerasifera,Ehrh.
Prunus domestica L. ssp insititia (L.)C.K. Schneider 'GREEN GAGE',Prunus,Prunus,L.
Prunus dulcis (Miller) D.A. Webb var. amara,Prunus dulcis var. amara,Prunus amygdalus,Batsch
Prunus dulcis (Mill.)D.A. Webb var. dulcis 'TEXAS',Prunus,Prunus,L.
Prunus glandulosa var. alba Koehne,Prunus glandulosa var. alba,Prunus glandulosa,Thunb.
Prunus glandulosa var. sinensis Koehne,Prunus glandulosa var. sinensis,Prunus glandulosa,Thunb.
Prunus lusitanica L.,Prunus lusitanica,Prunus caroliniana,(Mill.) Aiton
"Prunus persica Batsch var. aganopersica    ""Elberta "" (s.Rm.)",Prunus persica f. aganopersica,Prunus persica,(L.) Batsch
"Prunus persica Batsch var. nectarina Maxim. ""Stanwick""",Prunus persica var. nectarina,Prunus persica,(L.) Batsch
Prunus pseudocerasus Lindl.,Prunus pseudocerasus,Prunus serrulata,Lindl.
Prunus salicina Lindl. 'SATSUMA',Prunus,Prunus,L.
Prunus salicina Lindl. 'SANTA ROSA',Prunus,Prunus,L.
Prunus scoparia (Spach) Schneid.,Prunus scoparia,Prunus scoparia,(Spach) C.K.Schneid.
Prunus serrulata Lindl. 'OJOCHIN',Prunus,Prunus,L.
Prunus serrulata Lindl. 'SHIROTAE',Prunus,Prunus,L.
Prunus trilobata V. malacophyl Munz.,Prunus triloba,Prunus triloba,Lindl.
"Prunus ""Mission Almond""",Prunus,Prunus,L.
Psammophora Herrei D.Bol.,Psammophora,Psammophora,Dinter & Schwantes
Psammophora herrei L.Bolus,Psammophora herrei,Psammophora longifolia,L.Bolus
Psathyrotes ramosissima (Torr.) Gray,Psathyrotes ramosissima,Psathyrotes ramosissima,A.Gray
Pseudogynoxis cordifolia (Cass.) Cabr. det. J. Cuatrecasas 1965,Pseudogynoxys cordifolia,Pseudogynoxys cordifolia,(Cass.) Cabrera
Pseugogynoxis sonchoides (HBK) Cuatr. det. J. Cuatracasas 1965,Pseudogynoxys sonchoides,Pseudogynoxys sonchoides,(Kunth) Cuatrec.
Pseudolithos sphaericus Bally,Pseudolithos sphaericus,Pseudolithos migiurtinus,(Chiov.) P.R.O.Bally
Pseudolobivia [Lobivia ] potosina (Werd.) Backeb.,Pseudolobivia,Lobivia,Britton & Rose
Pseudolobivia torrecillansensis (Card.) Backeb.,Pseudolobivia torrecillasensis,Lobivia arachnacantha var. torrecillasensis,(Cárdenas) Buining
Pseudomussaenda capsulifera Wernham,Pseudomussaenda capsulifera,Tamridaea capsulifera,(Balf.f.) Thulin & B.Bremer
Pseudomussaenrida capsulifera,Pseudomussaenda capsulifera,Tamridaea capsulifera,(Balf.f.) Thulin & B.Bremer
Pseudorhipsalis epiphylloide var. bradei,Pseudorhipsalis,Pseudorhipsalis,Britton & Rose
Pseudosedum longidentatum A. Bor.,Pseudosedum longidentatum,Pseudosedum longidentatum,Boriss.
Psoralea adscendens F. Muell.,Psoralea adscendens,Cullen microcephalum,(Rchb. ex Kunze) J.W.Grimes
Psychotria daphnioides A. Cunn. ex Hook.,Psychotria daphnoides,Psychotria daphnoides,A.Cunn. ex Hook.
"Psychotria cf. macrophylla R. & P. det. J. J. Wurdack, 1966",Psychotria,Psychotria,L.
Psychotria maingayi Hook. f.,Psychotria maingayi,Psychotria maingayi,Hook.f.
Pteleopsis myrtifolia Engl. & Biels.,Pteleopsis myrtifolia,Terminalia myrtifolia,(M.A.Lawson) Gere & Boatwr.
Pterocarpus angolensis DC.,Pterocarpus angolensis,Pterocarpus angolensis,DC.
Pterocelastrus rostratus,Pterocelastrus rostratus,Pterocelastrus rostratus,(Thunb.) Walp.
Pterocelastrus tricuspidatus,Pterocelastrus tricuspidatus,Pterocelastrus tricuspidatus,(Lam.) Walp.
Pteroceltis tatarinowii Maxim.,Pteroceltis tatarinowii,Pteroceltis tatarinowii,Maxim.
Pterocephalus parnassii Spreng.,Pterocephalus parnassi,Pterocephalus pterocephala,(L.) Dörfl.
Pterodiscus aurantiacus Welw.,Pterodiscus aurantiacus,Pterodiscus aurantiacus,Welw.
Pterodiscus somaliensis Bak. ex Staph,Pterodiscus somaliensis,Pterodiscus ruspolii,Engl.
Pterodiscus wellbyi Stapf,Pterodiscus wellbyi,Pterodiscus ruspolii,Engl.
Pterostylis baptistii Fitzg.,Pterostylis baptistii,Pterostylis baptistii,Fitzg.
Pterostylis nana R.Br.,Pterostylis nana,Pterostylis nana,R.Br.
Pterostylis pedunculata R.Br.,Pterostylis pedunculata,Pterostylis pedunculata,R.Br.
Pterostylis robusta Rogers,Pterostylis robusta,Pterostylis robusta,R.S.Rogers
Pterostylis obtusa R. Br.,Pterostylis obtusa,Pterostylis obtusa,R.Br.
Ptilotus exaltatus Nees,Ptilotus exaltatus,Ptilotus exaltatus,Nees
Ptilotus grandiflorus F. Muell.,Ptilotus grandiflorus,Ptilotus grandiflorus,F.Muell.
Ptilotus nobilis (Lindl.) F. Muell.,Ptilotus nobilis,Ptilotus nobilis,(Lindl.) F.Muell.
Ptilotus obovatus (Gaud.)F. Muell.,Ptilotus obovatus,Ptilotus obovatus,(Gaudich.) F.Muell.
Pulicaria canariensis Boll.,Pulicaria canariensis,Pulicaria canariensis,Bolle
Pulsatilla nigricans Storck.,Pulsatilla nigricans,Pulsatilla pratensis subsp. pratensis,
Pultenaea subspicata Benth.,Pultenaea subspicata,Pultenaea subspicata,Benth.
"Puya Kamata L. B. Smith, sp. nov.",Puya,Puya,Molina
Puya ferreyrae L. B. Smith,Puya ferreyrae,Puya ferreyrae,L.B.Sm.
Puya glabrescens L.B. Smith,Puya glabrescens,Puya glabrescens,L.B.Sm.
Puya longistyla Mez.,Puya longistyla,Puya longistyla,Mez
Puya trianae Baker,Puya trianae,Puya trianae,Baker
Puya tristis L.B. Smith,Puya tristis,Puya tristis,L.B.Sm.
Puya werdermannii Harms,Puya werdermannii,Puya humilis,Mez
Pycnostachys stulmannii Guerke,Pycnostachys stuhlmannii,Coleus stuhlmannii,(Gürke) A.J.Paton
Pyracantha coccinea,Pyracantha coccinea,Pyracantha coccinea,M.Roem.
Pyrenatia acuminata Planch. ex Choisy,Pyrenaria acuminata,Pyrenaria acuminata,Planch. ex Choisy
Pyrethrum cinereriaefolium Trev. var. Kenia,Pyrethrum cinerariifolium,Tanacetum cinerariifolium,(Trevir.) Sch.Bip.
Pyrethrum ferulaceum Webb,Pyrethrum ferulaceum,Gonospermum ferulaceum,(Webb) Febles
Pyrola asarifolia Michx.,Pyrola asarifolia,Pyrola asarifolia,Michx.
Pyrola asarifolia Michx. var. bracteata (Hook.) Jeps. ?,Pyrola asarifolia var. bracteata,Pyrola asarifolia subsp. bracteata,(Hook.) Haber
Pyrolirion rum Baker  ephrenthes flavé Herb),Pyrolirion aureum,Pyrolirion arvense,"(F.Dietr.) Erhardt, Götz & Seybold"
Pyrolirion flavum Herb,Pyrolirion flavum,Pyrolirion flavum,Herb.
[Neoporteria] Pyrrhocactus curvispinus (Bert) Berg.,Pyrrhocactus curvispinus,Eriosyce curvispina,(Bertero ex Colla) Katt.
Neo [Neoporteria] Pyrrhocactuscurvispinu (Bert.) Berg.,Nil,Ipomoea,L.
nevor Pyrrhocactus garaventae Ritter,Pyrrhocactus garaventae,Eriosyce garaventae,(F.Ritter) Katt.
Pyrrhocactus iquiquense Ritter,Pyrrhocactus iquiquensis,Eriosyce iquiquensis,(F.Ritter) Ferryman
Pyrrhocactus iquiquensis Ritt.,Pyrrhocactus iquiquensis,Eriosyce iquiquensis,(F.Ritter) Ferryman
Pyrrhocactus occultus (Ph.) Backeb.,Pyrrhocactus occultus,Eriosyce heinrichiana,(Backeb.) Katt.
[NotocActus] Pyrrhocactus simulans Ritter,Pyrrhocactus simulans,Eriosyce simulans,(F.Ritter) Katt.
Notocoo two Pyrrhocactus strausianus (Schum) Berg.,Notodon,Poitea,Vent.
Pyrrhocactus strausianus (Schum.) Berg .,Pyrrhocactus strausianus,Eriosyce strausiana,(K.Schum.) Katt.
Pyrrhocactus umadeave (Werd.) Backeb.,Pyrrhocactus umadeave,Eriosyce umadeave,(Frič ex Kreuz.) Katt.
Pyrrosia pekinensis (Christ) Ching,Pyrrosia pekinensis,Pyrrosia davidii,(Giesenh.) Ching
"Pyrus ""Dwarf Bartlett""",Pyrus,Pyrus,L.
Pyrus betulaefolia Bunge,Pyrus betulifolia,Pyrus betulifolia,Bunge
Pyrus communis L. 'BEURRE BOSC',Pyrus,Pyrus,L.
Pyrus communis L. 'FONDANTE D'AUTOMNE',Pyrus,Pyrus,L.
Pyrus communis L. 'MADELEINE',Pyrus,Pyrus,L.
Pyrus elaeagrifolia Pall.,Pyrus elaeagrifolia,Pyrus elaeagrifolia,Pall.
Pyrus salicifolia Pall.,Pyrus salicifolia,Pyrus salicifolia,Pall.
Pyrus serotina Rehd.,Pyrus serotina,Pyrus pyrifolia,(Burm.f.) Nakai
Quamoclit vulgaris,Quamoclit vulgaris,Ipomoea quamoclit,L.
Quercus agrifolia Neé var. oxyadenia (Torr.) Howell,Quercus agrifolia var. oxyadenia,Quercus agrifolia,Née
Quercus calliprinos Webb,Quercus calliprinos,Quercus coccifera,L.
Quercus carnea,Quercus cornea,Lithocarpus corneus,(Lour.) Rehder
Quercus chenii Nakai,Quercus chenii,Quercus chenii,Nakai
Quercus deserticola Trel.,Quercus deserticola,Quercus deserticola,Trel.
Quercus fulva Liebm.,Quercus fulva,Quercus fulva,Liebm.
Quercus palustris Muenchh.,Quercus palustris,Quercus coccinea,Münchh.
Radicula armoracea Robins,Radicula armoracia,Armoracia rusticana,"G.Gaertn., B.Mey. & Scherb."
Raillardella promglii    Det. by Dr. Beard,Raillardella pringlei,Raillardella pringlei,Greene
Railliardia menziesii Gray,Railliardia menziesii,Dubautia menziesii,(A.Gray) D.D.Keck
Railliardia scabra D.C.,Railliardia scabra,Dubautia scabra,(DC.) D.D.Keck
Rangaeris amaniensis (Kraenzl.) Summerh.,Rangaeris amaniensis,Ypsilopus amaniensis,(Kraenzl.) D'haijère & Stévart
Ranunculus sp. (occidentalis var. eisenii (Kell.)    Gray?,Ranunculus,Ranunculus,L.
Ranunculus alismaefolius Geyer ex Benth  var. alismellus Gray,Ranunculus alismifolius var. alismellus,Ranunculus alismifolius var. alismellus,A.Gray
Ranunculus anemoneus F. Muell.,Ranunculus anemoneus,Ranunculus anemoneus,F.Muell.
Ranunculus aquatilis ssp. marizii P. Cout.,Ranunculus aquatilis subsp. marizii,Ranunculus penicillatus,(Dumort.) Bab.
Ranunculus cassubicus L.,Ranunculus cassubicus,Ranunculus cassubicus,L.
"Ranunculus krapfia DC. ex Delessert    det. J. J. Wurdach, 1966",Ranunculus krapfia,Ranunculus haemanthus,Ulbr.
Ranunculus laetus Wall.,Ranunculus laetus,Ranunculus bulbosus,L.
Ranunculus muricata L.,Ranunculus muricatus,Ranunculus muricatus,L.
Ranunculus polyanthemus L.,Ranunculus polyanthemos,Ranunculus polyanthemos,L.
Ranunculus sardous Cranz,Ranunculus sardous,Ranunculus sardous,Crantz
Raoulia subsericea Hook. f.,Raoulia subsericea,Raoulia subsericea,Hook.f.
Rapanea mccomishii Sprague,Rapanea mccomishii,Myrsine mccomishii,(Sprague) Jackes
Rapanaea mccomishii Sprague,Rapanea mccomishii,Myrsine mccomishii,(Sprague) Jackes
Rapanea myricoides (Schlect.)Lundell,Rapanea myricoides,Myrsine coriacea subsp. coriacea,
Rauwolfia vomitoria Benth.,Rauwolfia,Citharexylum,B.Juss.
Reaumuria hypericoides Willd.,Reaumuria hypericoides,Reaumuria alternifolia,(Labill.) Britten
Rechsteineria leucotricha,Rechsteineria leucotricha,Sinningia leucotricha,(Hoehne) H.E.Moore
Rebutia (Sulcorebutia),Rebutia,Rebutia,K.Schum.
Rebutia (Aylostera),Rebutia,Rebutia,K.Schum.
Rebutia albiflora Ritt. et Buin . (Aylostera),Rebutia albiflora,Aylostera albiflora,(F.Ritter & Buining) Backeb.
Rebutia (Backeb-r) Backeb. Mediolobivia) aureiflore,Rebutia,Rebutia,K.Schum.
Rebutia blossfeldii Werd. Mediolobivia aureiflora (Backeb.) Backeb. var . rubriflora (Backeb.)Backeb.),Rebutia blossfeldii,Aylostera einsteinii,(Frič) Mosti & Papini
Rebutia digitiformis Backbg Mediolobivia pectinata (Backeb.)) Backeb. var . digitiformis) (Backeb.) Backeb.,Rebutia,Rebutia,K.Schum.
